,Variable,Variable Name,Number,TP_variable,TP_fixed_mean,TP_fixed_min,TP_fixed_max
0,Comp Prod,g,1,1100.0,1100.0,1200.0,1100.0
1,Comp Prod,g,2,2000.0,2000.0,1900.0,2000.0
2,Comp Prod,g,3,1794.0,2000.0,1200.0,2000.0
3,Comp Prod,g,4,1306.0,1100.0,1900.0,1100.0
4,Final Prod,h,1,1794.0,2000.0,1200.0,2000.0
5,Final Prod,h,2,1306.0,1100.0,1900.0,1100.0
6,Comp ship,x,"(1, 1)",1100.0,1100.0,1200.0,1100.0
7,Comp ship,x,"(1, 2)",0.0,0.0,-0.0,0.0
8,Comp ship,x,"(2, 1)",694.0,900.0,-0.0,900.0
9,Comp ship,x,"(2, 2)",1306.0,1100.0,1900.0,1100.0
10,Comp ship,x,"(3, 1)",1794.0,2000.0,1200.0,2000.0
11,Comp ship,x,"(3, 2)",0.0,0.0,-0.0,0.0
12,Comp ship,x,"(4, 1)",0.0,-0.0,-0.0,0.0
13,Comp ship,x,"(4, 2)",1306.0,1100.0,1900.0,1100.0
14,Prod ship,y,"(1, 1)",1200.0,1200.0,1200.0,1200.0
15,Prod ship,y,"(1, 2)",594.0,800.0,0.0,800.0
16,Prod ship,y,"(1, 3)",0.0,0.0,0.0,0.0
17,Prod ship,y,"(2, 1)",0.0,-0.0,-0.0,-0.0
18,Prod ship,y,"(2, 2)",406.0,200.0,1000.0,200.0
19,Prod ship,y,"(2, 3)",900.0,900.0,900.0,900.0
20,"TP c,f",tp,"(1, 1)",160.0,250.0,160.0,340.0
21,"TP c,f",tp,"(1, 2)",0,0,0,0
22,"TP c,f",tp,"(2, 1)",350.0,260.0,0,350.0
23,"TP c,f",tp,"(2, 2)",448.23889739663093,340.0,190.0,490.0
24,"TP c,f",tp,"(3, 1)",360.0,270.0,180.0,360.0
25,"TP c,f",tp,"(3, 2)",0,0,0,0
26,"TP c,f",tp,"(4, 1)",0,0,0,0
27,"TP c,f",tp,"(4, 2)",110.0,260.0,110.0,410.0
28,"TP f,d",tp,"(1, 1)",800.0,660.0,520.0,800.0
29,"TP f,d",tp,"(1, 2)",829.96632996633,730.0,0,830.0
30,"TP f,d",tp,"(1, 3)",0,0,0,0
31,"TP f,d",tp,"(2, 1)",0,0,0,0
32,"TP f,d",tp,"(2, 2)",830.0,725.0,620.0,830.0
33,"TP f,d",tp,"(2, 3)",880.0,740.0,600.0,880.0
34,Profit,,,628094.0,441550.0,554400.0,343300.0
35,Comp Man Profit,,,628080.0,471150.0,0.0,942300.0
36,Prod Man Profit,,,0.0,-304000.0,0.0,-599000.0
37,Dist Profit,,,14.0,274400.0,554400.0,0.0
